NumberNumerical,NumberCategorical,Size
1,1,512
1,2,512
1,4,512
1,8,512
1,16,512
1,32,512
1,64,512
1,128,520
1,256,536
1,512,568
1,1024,632
1,2048,760
1,4096,1016
1,8192,1528
2,1,516
2,2,516
2,4,516
2,8,516
2,16,516
2,32,516
2,64,516
2,128,524
2,256,540
2,512,572
2,1024,636
2,2048,764
2,4096,1020
2,8192,1532
4,1,524
4,2,524
4,4,524
4,8,524
4,16,524
4,32,524
4,64,524
4,128,532
4,256,548
4,512,580
4,1024,644
4,2048,772
4,4096,1028
4,8192,1540
8,1,540
8,2,540
8,4,540
8,8,540
8,16,540
8,32,540
8,64,540
8,128,548
8,256,564
8,512,596
8,1024,660
8,2048,788
8,4096,1044
8,8192,1556
16,1,572
16,2,572
16,4,572
16,8,572
16,16,572
16,32,572
16,64,572
16,128,580
16,256,596
16,512,628
16,1024,692
16,2048,820
16,4096,1076
16,8192,1588
32,1,636
32,2,636
32,4,636
32,8,636
32,16,636
32,32,636
32,64,636
32,128,644
32,256,660
32,512,692
32,1024,756
32,2048,884
32,4096,1140
32,8192,1652
64,1,764
64,2,764
64,4,764
64,8,764
64,16,764
64,32,764
64,64,764
64,128,772
64,256,788
64,512,820
64,1024,884
64,2048,1012
64,4096,1268
64,8192,1780
128,1,1028
128,2,1028
128,4,1028
128,8,1028
128,16,1028
128,32,1028
128,64,1028
128,128,1028
128,256,1044
128,512,1076
128,1024,1140
128,2048,1268
128,4096,1524
128,8192,2036
256,1,1556
256,2,1556
256,4,1556
256,8,1556
256,16,1556
256,32,1556
256,64,1556
256,128,1556
256,256,1556
256,512,1588
256,1024,1652
256,2048,1780
256,4096,2036
256,8192,2548
512,1,2612
512,2,2612
512,4,2612
512,8,2612
512,16,2612
512,32,2612
512,64,2612
512,128,2612
512,256,2612
512,512,2612
512,1024,2676
512,2048,2804
512,4096,3060
512,8192,3572
1024,1,4724
1024,2,4724
1024,4,4724
1024,8,4724
1024,16,4724
1024,32,4724
1024,64,4724
1024,128,4724
1024,256,4724
1024,512,4724
1024,1024,4724
1024,2048,4852
1024,4096,5108
1024,8192,5620
2048,1,8948
2048,2,8948
2048,4,8948
2048,8,8948
2048,16,8948
2048,32,8948
2048,64,8948
2048,128,8948
2048,256,8948
2048,512,8948
2048,1024,8948
2048,2048,8948
2048,4096,9204
2048,8192,9716
4096,1,17396
4096,2,17396
4096,4,17396
4096,8,17396
4096,16,17396
4096,32,17396
4096,64,17396
4096,128,17396
4096,256,17396
4096,512,17396
4096,1024,17396
4096,2048,17396
4096,4096,17396
4096,8192,17908
8192,1,34292
8192,2,34292
8192,4,34292
8192,8,34292
8192,16,34292
8192,32,34292
8192,64,34292
8192,128,34292
8192,256,34292
8192,512,34292
8192,1024,34292
8192,2048,34292
8192,4096,34292
8192,8192,34292
